列 subject 最大值所在的行: ['500557', '2', 'コードギアス 奪還のロゼ', 'Code Geass 夺还的罗赛']
列 VIB评分 最大值所在的行: ['25896', '1', '火の鳥', '火之鸟']
列 VIB标准差 最大值所在的行: ['16872', '2', 'チャージマン研!', 'ChargeMan研']
列 VIB评分数 最大值所在的行: ['9717', '2', '魔法少女まどか☆マギカ', '魔法少女小圆']
列 1.1 最大值所在的行: ['285437', '2', '三体', '三体']
列 2.1 最大值所在的行: ['163046', '2', '迷家-マヨイガ-', '迷家']
列 3.1 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 4.1 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 5.1 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
列 6.1 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
列 7.1 最大值所在的行: ['29648', '2', '中二病でも恋がしたい！', '中二病也要谈恋爱！']
列 8.1 最大值所在的行: ['160209', '2', '君の名は。', '你的名字。']
列 9.1 最大值所在的行: ['10380', '2', 'STEINS;GATE', '命运石之门']
列 10.1 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 表面排名 最大值所在的行: ['212186', '2', 'けものフレンズ2', '兽娘动物园2']
列 表面评分数 最大值所在的行: ['10380', '2', 'STEINS;GATE', '命运石之门']
列 表面评分 最大值所在的行: ['18462', '1', 'SLAM DUNK 完全版', '灌篮高手 完全版']
列 1.2 最大值所在的行: ['285437', '2', '三体', '三体']
列 2.2 最大值所在的行: ['163046', '2', '迷家-マヨイガ-', '迷家']
列 3.2 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 4.2 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 5.2 最大值所在的行: ['364450', '2', 'リコリス・リコイル', '莉可丽丝']
列 6.2 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
列 7.2 最大值所在的行: ['29648', '2', '中二病でも恋がしたい！', '中二病也要谈恋爱！']
列 8.2 最大值所在的行: ['160209', '2', '君の名は。', '你的名字。']
列 9.2 最大值所在的行: ['10380', '2', 'STEINS;GATE', '命运石之门']
列 10.2 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 搁置 最大值所在的行: ['975', '2', 'ONE PIECE', '航海王']
列 抛弃 最大值所在的行: ['296109', '2', '王様ランキング', '国王排名']
列 想 最大值所在的行: ['110467', '2', 'SHIROBAKO', '白箱']
列 已 最大值所在的行: ['9717', '2', '魔法少女まどか☆マギカ', '魔法少女小圆']
列 在 最大值所在的行: ['464376', '2', '負けヒロインが多すぎる！', '败犬女主太多了！']
列 is1 最大值所在的行: ['253', '2', 'カウボーイビバップ', '星际牛仔']
列 is2 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 is3 最大值所在的行: ['975', '2', 'ONE PIECE', '航海王']
列 is4 最大值所在的行: ['975', '2', 'ONE PIECE', '航海王']
列 is5 最大值所在的行: ['1428', '2', '鋼の錬金術師 FULLMETAL ALCHEMIST', '钢之炼金术师 FULLMETAL ALCHEMIST']
列 is6 最大值所在的行: ['11834', '2', "銀魂'", "银魂'"]
列 is7 最大值所在的行: ['10380', '2', 'STEINS;GATE', '命运石之门']
列 is8 最大值所在的行: ['400602', '2', '葬送のフリーレン', '葬送的芙莉莲']
列 is9 最大值所在的行: ['975', '2', 'ONE PIECE', '航海王']
列 is10 最大值所在的行: ['975', '2', 'ONE PIECE', '航海王']
列 is11 最大值所在的行: ['9912', '2', '日常', '日常']
列 is12 最大值所在的行: ['160209', '2', '君の名は。', '你的名字。']
列 is13 最大值所在的行: ['464376', '2', '負けヒロインが多すぎる！', '败犬女主太多了！']
列 is14 最大值所在的行: ['975', '2', 'ONE PIECE', '航海王']
列 is15 最大值所在的行: ['975', '2', 'ONE PIECE', '航海王']
列 is16 最大值所在的行: ['132734', '2', '冴えない彼女の育てかた ♭', '路人女主的养成方法 ♭']
列 is17 最大值所在的行: ['29648', '2', '中二病でも恋がしたい！', '中二病也要谈恋爱！']
列 is18 最大值所在的行: ['424883', '2', '時々ボソッとロシア語でデレる隣のアーリャさん', '不时用俄语小声说真心话的邻桌艾莉同学']
列 is19 最大值所在的行: ['899', '2', '名探偵コナン', '名侦探柯南']
列 is20 最大值所在的行: ['899', '2', '名探偵コナン', '名侦探柯南']
列 is21 最大值所在的行: ['15237', '2', '神様のメモ帳', '神的记事本']
列 is22 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
列 is23 最大值所在的行: ['424883', '2', '時々ボソッとロシア語でデレる隣のアーリャさん', '不时用俄语小声说真心话的邻桌艾莉同学']
列 is24 最大值所在的行: ['899', '2', '名探偵コナン', '名侦探柯南']
列 is25 最大值所在的行: ['414461', '2', 'ゾン100～ゾンビになるまでにしたい100のこと～', '僵尸百分百～在成为僵尸前要做的100件事～']
列 is26 最大值所在的行: ['10459', '2', 'まよチキ！', '迷茫管家与懦弱的我']
列 is27 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
列 is28 最大值所在的行: ['424883', '2', '時々ボソッとロシア語でデレる隣のアーリャさん', '不时用俄语小声说真心话的邻桌艾莉同学']
列 is29 最大值所在的行: ['414461', '2', 'ゾン100～ゾンビになるまでにしたい100のこと～', '僵尸百分百～在成为僵尸前要做的100件事～']
列 is30 最大值所在的行: ['296109', '2', '王様ランキング', '国王排名']
列 is31 最大值所在的行: ['364450', '2', 'リコリス・リコイル', '莉可丽丝']
列 is32 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 is33 最大值所在的行: ['424883', '2', '時々ボソッとロシア語でデレる隣のアーリャさん', '不时用俄语小声说真心话的邻桌艾莉同学']
列 is34 最大值所在的行: ['202661', '2', 'BORUTO-ボルト- NARUTO NEXT GENERATIONS', '博人传-火影次世代-']
列 is35 最大值所在的行: ['296109', '2', '王様ランキング', '国王排名']
列 is36 最大值所在的行: ['317613', '2', 'かぐや様は告らせたい-ウルトラロマンティック-', '辉夜大小姐想让我告白-超级浪漫-']
列 is37 最大值所在的行: ['306429', '2', '神様になった日', '成神之日']
列 is38 最大值所在的行: ['283643', '2', '響け！ユーフォニアム３', '吹响！悠风号 第三季']
列 is39 最大值所在的行: ['354146', '2', 'ラブライブ！スーパースター!! 2期', 'Love Live! Superstar!! 第二季']
列 is40 最大值所在的行: ['296109', '2', '王様ランキング', '国王排名']
列 is41 最大值所在的行: ['373247', '2', '無職転生Ⅱ ～異世界行ったら本気だす～', '无职转生Ⅱ ～到了异世界就拿出真本事～']
列 is42 最大值所在的行: ['163046', '2', '迷家-マヨイガ-', '迷家']
列 is43 最大值所在的行: ['283643', '2', '響け！ユーフォニアム３', '吹响！悠风号 第三季']
列 is44 最大值所在的行: ['285437', '2', '三体', '三体']
列 is45 最大值所在的行: ['285437', '2', '三体', '三体']
列 is46 最大值所在的行: ['363600', '2', 'ポプテピピック TVアニメーション作品第二シリーズ', 'pop子和pipi美的日常 第二季']
列 is47 最大值所在的行: ['285437', '2', '三体', '三体']
列 is48 最大值所在的行: ['283643', '2', '響け！ユーフォニアム３', '吹响！悠风号 第三季']
列 is49 最大值所在的行: ['285437', '2', '三体', '三体']
列 is50 最大值所在的行: ['285437', '2', '三体', '三体']
列 ad1 最大值所在的行: ['49278', '2', '境界の彼方', '境界的彼方']
列 ad2 最大值所在的行: ['400602', '2', '葬送のフリーレン', '葬送的芙莉莲']
列 ad3 最大值所在的行: ['876', '2', 'CLANNAD 〜AFTER STORY〜', 'CLANNAD 〜AFTER STORY〜']
列 ad4 最大值所在的行: ['348335', '2', '平家物語', '平家物语']
列 ad5 最大值所在的行: ['400602', '2', '葬送のフリーレン', '葬送的芙莉莲']
列 ad6 最大值所在的行: ['10380', '2', 'STEINS;GATE', '命运石之门']
列 ad7 最大值所在的行: ['49278', '2', '境界の彼方', '境界的彼方']
列 ad8 最大值所在的行: ['464376', '2', '負けヒロインが多すぎる！', '败犬女主太多了！']
列 ad9 最大值所在的行: ['160209', '2', '君の名は。', '你的名字。']
列 ad10 最大值所在的行: ['49278', '2', '境界の彼方', '境界的彼方']
列 ad11 最大值所在的行: ['424883', '2', '時々ボソッとロシア語でデレる隣のアーリャさん', '不时用俄语小声说真心话的邻桌艾莉同学']
列 ad12 最大值所在的行: ['29648', '2', '中二病でも恋がしたい！', '中二病也要谈恋爱！']
列 ad13 最大值所在的行: ['49278', '2', '境界の彼方', '境界的彼方']
列 ad14 最大值所在的行: ['424883', '2', '時々ボソッとロシア語でデレる隣のアーリャさん', '不时用俄语小声说真心话的邻桌艾莉同学']
列 ad15 最大值所在的行: ['120925', '2', 'Charlotte', '夏洛特']
